category,type,name,url,url_img,price,stock,manufacturer,flush,spec,housing,connection,size,material,IP,output_structure,voltage,output_type,adjust,distance,indicator,temperature
Индуктивные датчики,Индуктивный датчик,LE17SF05DNO,https://teko-com.ru/product/le17sf05dno.html,/static/main/img/ind_LANBAO/357c085d3f9e54b0a9a677c0de92a4e7-228x228.png,1020,1-3 дня,LANBAO,Встраиваемый,Общее применение,Прямоугольный,Кабель,17x17x28,Пластик,IP 67,NPN,10-30 [DC],NO,Нет,5.0,Есть,-25...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN70DPRY-E2,https://teko-com.ru/product/le80xzsn70dpry-e2.html,/static/main/img/ind_LANBAO/9d397cbd376e7ddb5821f893c8403874-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Разъём,40x80x104,Пластик,IP 67,PNP,10-30 [DC],NO и NC,Нет,70.0,Есть,-25...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN70DPRY-D,https://teko-com.ru/product/le80xzsn70dpry-d.html,/static/main/img/ind_LANBAO/04e95006d91c6a52c9e577a49ed5afe2-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Клеммы,40x80x104,Пластик,IP 67,PNP,10-30 [DC],NO и NC,Нет,70.0,Есть,-25...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN70DNRY-E2,https://teko-com.ru/product/le80xzsn70dnry-e2.html,/static/main/img/ind_LANBAO/7bf10ef7075fb496d44e7dbf2c2c6e0d-228x228.png,,По запросу,LANBAO,Встраиваемый,Общее применение,Прямоугольный,Разъём,40x80x104,Пластик,IP 67,PNP,10-30 [DC],NO и NC,Нет,70.0,Есть,-25...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN70DNRY-D,https://teko-com.ru/product/le80xzsn70dnry-d.html,/static/main/img/ind_LANBAO/48b9cd4be4ffca891809588cc296700f-228x228.png,,По запросу,LANBAO,Встраиваемый,Общее применение,Прямоугольный,Клеммы,40x80x104,Пластик,IP 67,PNP,10-30 [DC],NO и NC,Нет,70.0,Есть,-25...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN50DPRW1-E2,https://teko-com.ru/product/le80xzsn50dprw1-e2.html,/static/main/img/ind_LANBAO/dab3f65c506803c89b4f00f0fa595068-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Разъём,80x40x104,Пластик,IP 67,PNP,10-30 [DC],NO и NC,Нет,50.0,Есть,-40...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN50DPRW1-D,https://teko-com.ru/product/le80xzsn50dprw1-d.html,/static/main/img/ind_LANBAO/86f3ff855618d27e9037fdb6ce785bc4-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Клеммы,80x40x98,Пластик,IP 67,PNP,10-30 [DC],NO и NC,Нет,50.0,Есть,-40...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN50DPOW1-E2,https://teko-com.ru/product/le80xzsn50dpow1-e2.html,/static/main/img/ind_LANBAO/469d9438c730896f230b57eef2498b8e-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Разъём,80x40x104,Пластик,IP 67,PNP,10-30 [DC],NO,Нет,50.0,Есть,-40...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN50DPOW1-D,https://teko-com.ru/product/le80xzsn50dpow1-d.html,/static/main/img/ind_LANBAO/c2c88535c6e2e11cfdee7acc05587172-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Клеммы,80x40x98,Пластик,IP 67,PNP,10-30 [DC],NO,Нет,50.0,Есть,-40...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN50DPCW1-E2,https://teko-com.ru/product/le80xzsn50dpcw1-e2.html,/static/main/img/ind_LANBAO/e2fb6cc73b146e82ec4b1ec91fa0567c-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Разъём,80x40x104,Пластик,IP 67,PNP,10-30 [DC],NC,Нет,50.0,Есть,-40...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN50DPCW1-D,https://teko-com.ru/product/le80xzsn50dpcw1-d.html,/static/main/img/ind_LANBAO/b3dabf32850a03fd334b445acd5e1265-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Клеммы,80x40x98,Пластик,IP 67,PNP,10-30 [DC],NC,Нет,50.0,Есть,-40...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN50DNRW1-E2,https://teko-com.ru/product/le80xzsn50dnrw1-e2.html,/static/main/img/ind_LANBAO/f77054c279ef2bec438120368ec8b2f4-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Разъём,80x40x104,Пластик,IP 67,NPN,10-30 [DC],NO и NC,Нет,50.0,Есть,-40...+70
Индуктивные датчики,Индуктивный датчик,LE80XZSN50DNRW1-D,https://teko-com.ru/product/le80xzsn50dnrw1-d.html,/static/main/img/ind_LANBAO/cc73b925512aec7a36dec84fb4a011d8-228x228.png,,По запросу,LANBAO,Невстраиваемый,Общее применение,Прямоугольный,Клеммы,80x40x98,Пластик,IP 67,NPN,10-30 [DC],NO и NC,Нет,50.0,Есть,-40...+70
