category,type,name,url,url_img,price,stock,manufacturer,flush,spec,housing,connection,size,material,IP,output_structure,voltage,output_type,adjust,distance,indicator,temperature
Индуктивные датчики,Индуктивный датчик,"И09-NC-AC-Z (Л63, Lкаб=5м)",https://skbind.ru/catalog/induktivnye_datchiki/na_peremennoe_20_250v_postoyannoe_napryazhenie_30_250v_1/16566/,/static/main/img/ind_SKB/83d69974-ee6e-11e9-b979-f0795970fef5_04e3f079-ae49-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Латунь,IP 67,Двухпроводный датчик,30-250 [DC] / 20-250 [AC],NC,Нет,5.0,Есть,-25...+75
Индуктивные датчики,Индуктивный датчик,"И26-NO-AC-Z (Л63, Lкаб=3,5м)",https://skbind.ru/catalog/induktivnye_datchiki/na_peremennoe_20_250v_postoyannoe_napryazhenie_30_250v_1/15421/,/static/main/img/ind_SKB/31890e32-0c2a-11e6-4b9f-f0795970fef5_d36d8698-ac00-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅30,Латунь,IP 67,Двухпроводный датчик,30-250 [DC] / 20-250 [AC],NO,Нет,10.0,Есть,-25...+75
Индуктивные датчики,Индуктивный преобразователь перемещения,"ИДА09-U-PNP-P-ПГ (Л63, НКУ)",https://skbind.ru/catalog/induktivnye_datchiki/s_analogovym_vykhodom_3_kh_4_kh_provodnye_na_postoyannoe_napryazhenie_15_30v/17502/,/static/main/img/ind_SKB/f5a05d8d-bad5-11ec-aeb2-9457a5547ba0_b7e83e7a-c171-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Встраиваемый,Общее применение,Цилиндрический с резьбой,Разъём,∅18,Латунь,IP 68/ IP 65,PNP,15-30 [DC],Напряжение,Нет,10.0,Есть,+15...+35
Индуктивные датчики,Индуктивный преобразователь перемещения,SIA400-I/U-PNP-P (НКУ),https://skbind.ru/catalog/induktivnye_datchiki/s_analogovym_vykhodom_3_kh_4_kh_provodnye_na_postoyannoe_napryazhenie_15_30v/17506/,/static/main/img/ind_SKB/d41ce242-9e76-11ea-b981-f0795970fef5_961e0c9e-c209-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Не встраиваемый,Общее применение,Прямоугольный,Разъём,40х40х115,Пластик,IP 67,PNP,15-30 [DC],Напряжение и ток,Нет,10.0,Есть,+15...+35
Индуктивные датчики,Индуктивный датчик,"И01-NC-AC-Z (12Х18Н10Т, Lкаб=2м)",https://skbind.ru/catalog/induktivnye_datchiki/na_peremennoe_20_250v_postoyannoe_napryazhenie_30_250v_1/15988/,/static/main/img/ind_SKB/42a66595-5974-11eb-aea6-9457a5547ba0_8a258c4c-acfe-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Нерж. сталь,IP 67,Двухпроводный датчик,30-250 [DC] / 20-250 [AC],NC,Нет,2.0,Есть,-25...+75
Индуктивные датчики,Индуктивный датчик,"И01-NO-AC-Z (12Х18Н10Т, Lкаб=5м)",https://skbind.ru/catalog/induktivnye_datchiki/na_peremennoe_20_250v_postoyannoe_napryazhenie_30_250v_1/16237/,/static/main/img/ind_SKB/1b8d722e-9c45-11eb-aeab-9457a5547ba0_3b598daf-acff-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Нерж. сталь,IP 67,Двухпроводный датчик,30-250 [DC] / 20-250 [AC],NO,Нет,2.0,Есть,-25...+75
Индуктивные датчики,Индуктивный датчик,И03-NC-AC-K-Z-HT (Л63),https://skbind.ru/catalog/induktivnye_datchiki/na_peremennoe_20_250v_postoyannoe_napryazhenie_30_250v_1/15721/,/static/main/img/ind_SKB/ed9f74f4-0dfa-11eb-aea4-9457a5547ba0_02318dc8-ad06-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Не встраиваемый,Общее применение,Цилиндрический с резьбой,Клеммы,∅12,Латунь,IP 65,Двухпроводный датчик,30-250 [DC] / 20-250 [AC],NC,Нет,4.0,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,"И03-NC-AC-Z-ПГ (Л63, Lкаб=2м)",https://skbind.ru/catalog/induktivnye_datchiki/na_peremennoe_20_250v_postoyannoe_napryazhenie_30_250v_1/17125/,/static/main/img/ind_SKB/6af82d41-30c0-11ec-aeaf-9457a5547ba0_fd2b76fa-ad09-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Не встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,Двухпроводный датчик,30-250 [DC] / 20-250 [AC],NC,Нет,4.0,Есть,-25...+75
Индуктивные датчики,Индуктивный датчик,"И03-NC-AC-Z (Л63, Lкаб=2м)",https://skbind.ru/catalog/induktivnye_datchiki/na_peremennoe_20_250v_postoyannoe_napryazhenie_30_250v_1/17034/,/static/main/img/ind_SKB/286ef2d1-19c8-11ec-aeaf-9457a5547ba0_47d26afb-ad09-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Не встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 67,Двухпроводный датчик,30-250 [DC] / 20-250 [AC],NC,Нет,4.0,Есть,-25...+75
Индуктивные датчики,Индуктивный датчик,"И04-NO-AC-Z-ПГ (Л63, Lкаб=2м)",https://skbind.ru/catalog/induktivnye_datchiki/na_peremennoe_20_250v_postoyannoe_napryazhenie_30_250v_1/17431/,/static/main/img/ind_SKB/5a881007-6233-11ec-aeb0-9457a5547ba0_1dcee27d-ad0d-11ec-aeb2-9457a5547ba0.jpg,999999.0,,СКБ Индукция,Не встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅12,Латунь,IP 68,Двухпроводный датчик,30-250 [DC] / 20-250 [AC],NO,Нет,4.0,Есть,-25...+75
