category_name,sensor_type,sensor_symbol,sensor_url,sensor_imgurl,sensor_price,sensor_in_stock
Индуктивные датчики,Бесконтактный выключатель,"ISB AF4B-31P-5-LZ-4,5",https://teko-com.ru/index.php?route=product/product&path=1437&product_id=17324,https://teko-com.ru/image/cache/upload_image/ISB%20AF4B-228x228.jpg,1 350 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,ISN ET8A-31N-15-LZ,https://teko-com.ru/product/isn-et8a-31n-15-lz.html,https://teko-com.ru/image/cache/catalog/product/9302/ISN_ET8A_3d-228x228.jpg,1 990 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,ISB A4A8-31P-5F-LZT1-C-P,https://teko-com.ru/product/isb-a4a8-31p-5f-lzt1-c-p.html,https://teko-com.ru/image/cache/upload_image/ISB%20A4A-228x228.jpg,1 740 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,ISB AC8A-43P-10-LZS4,https://teko-com.ru/product/isb-ac8a-43p-10-lzs4.html,https://teko-com.ru/image/cache/upload_image/ISB%20AC8A-228x228.jpg,2 140 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,"ISBt AC27B8-32P-4F-LTR9-C-P1-0,2",https://teko-com.ru/product/isbt-ac27b8-32p-4f-ltr9-c-p1-0-2.html,https://teko-com.ru/image/cache/catalog/product/12049/ISBt_AC27B8_3d-228x228.jpg,3 340 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,ISN F4A-32P-8-LZ,https://teko-com.ru/product/isn-f4a-32p-8-lz.html,https://teko-com.ru/image/cache/catalog/product/9337/ISN_F4A_3d-228x228.jpg,1 910 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,ISB A4B-31P-5-LZ,https://teko-com.ru/product/isb-a4b-31p-5-lz.html,https://teko-com.ru/image/cache/upload_image/SB%20A4B-228x228.jpg,1 600 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,"ISB WC29S8-31P-1,5-ZS4-2",https://teko-com.ru/product/isb-wc29s8-31p-1-5-zs4-2.html,https://teko-com.ru/image/cache/induktivnie-dlja-raboty-v-srede-vysokogo-davlenija/M12/new_ISB_WC29S8-228x228.jpg,6 500 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,"ISB B1B-31P-1,5F-LP-C",https://teko-com.ru/product/isb-b1b-31p-1-5f-lp-c.html,https://teko-com.ru/image/cache/catalog/product/12017/ISB_B1B_3d-228x228.jpg,2 190 р.,1-3 дня
Индуктивные датчики,Бесконтактный выключатель,ISN E73A-02G-15-L,https://teko-com.ru/product/isn-e73a-02g-15-l.html,https://teko-com.ru/image/cache/catalog/product/11880/ISN_E73A_3d-228x228.jpg,2 470 р.,1-3 дня
