category,type,name,url,url_img,price,stock,manufacturer,flush,spec,housing,connection,size,material,IP,output_structure,voltage,output_type,adjust,distance,indicator,temperature
Индуктивные датчики,Индуктивный датчик,"ISB AF4B-31P-5-LZ-4,5",https://teko-com.ru/index.php?route=product/product&path=1437&product_id=17324,/static/main/img/ind_TEKO/ISB_20AF4B-228x228.jpg,1350,1-3 дня,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель (фиттинг),∅18,Латунь,IP 67,PNP,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISN ET8A-31N-15-LZ,https://teko-com.ru/product/isn-et8a-31n-15-lz.html,/static/main/img/ind_TEKO/ISN_ET8A_3d-228x228.jpg,1990,1-3 дня,TEKO,Не встраиваемый,Общее применение,Цилиндрический с резьбой,Клеммы,∅30,Алюминий,IP 67,NPN,10-30 [DC],NO,Нет,15.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A4A8-31P-5F-LZT1-C-P,https://teko-com.ru/product/isb-a4a8-31p-5f-lzt1-c-p.html,/static/main/img/ind_TEKO/ISB_20A4A-228x228.jpg,1740,1-3 дня,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Клеммы,∅18,Алюминий,IP 68,PNP,10-30 [DC],NO,Нет,5.0,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,ISB AC8A-43P-10-LZS4,https://teko-com.ru/product/isb-ac8a-43p-10-lzs4.html,/static/main/img/ind_TEKO/ISB_20AC8A-228x228.jpg,2140,1-3 дня,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Разъём,∅30,Алюминий,IP 67,PNP,10-30 [DC],NO и NC,Нет,10.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,"ISBt AC27B8-32P-4F-LTR9-C-P1-0,2",https://teko-com.ru/product/isbt-ac27b8-32p-4f-ltr9-c-p1-0-2.html,/static/main/img/ind_TEKO/ISBt_AC27B8_3d-228x228.jpg,3340,1-3 дня,TEKO,Встраиваемый,Транспортное исполнение,Цилиндрический с резьбой,Разъём,∅12,Латунь,IP 68,PNP,10-30 [DC],NC,Нет,4.0,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,ISN F4A-32P-8-LZ,https://teko-com.ru/product/isn-f4a-32p-8-lz.html,/static/main/img/ind_TEKO/ISN_F4A_3d-228x228.jpg,1910,1-3 дня,TEKO,Не встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Алюминий,IP 67,PNP,10-30 [DC],NC,Нет,8.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB A4B-31P-5-LZ,https://teko-com.ru/product/isb-a4b-31p-5-lz.html,/static/main/img/ind_TEKO/SB_20A4B-228x228.jpg,1600,1-3 дня,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅18,Латунь,IP 67,PNP,10-30 [DC],NO,Нет,5.0,Есть,-15...+65
Индуктивные датчики,Индуктивный датчик,"ISB WC29S8-31P-1,5-ZS4-2",https://teko-com.ru/product/isb-wc29s8-31p-1-5-zs4-2.html,/static/main/img/ind_TEKO/new_ISB_WC29S8-228x228.jpg,6500,1-3 дня,TEKO,Встраиваемый,В среде высокого давления,Цилиндрический с резьбой,Разъём,∅12,Нерж. сталь,IP 68,PNP,10-30 [DC],NO,Нет,1.5,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,"ISB B1B-31P-1,5F-LP-C",https://teko-com.ru/product/isb-b1b-31p-1-5f-lp-c.html,/static/main/img/ind_TEKO/ISB_B1B_3d-228x228.jpg,2190,1-3 дня,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅8,Латунь,IP 67,PNP,10-30 [DC],NO,Нет,1.5,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,ISN E73A-02G-15-L,https://teko-com.ru/product/isn-e73a-02g-15-l.html,/static/main/img/ind_TEKO/ISN_E73A_3d-228x228.jpg,2470,1-3 дня,TEKO,Не встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель,∅27,Алюминий,IP 67,Двухпроводный датчик,20-320 [DC] / 20-250 [AC],NC,Нет,15.0,Нет,-15...+65
Индуктивные датчики,Индуктивный датчик,ISB AF42A-11G-5-LZ-C,https://teko-com.ru/product/isb-af42a-11g-5-lz-c.html,/static/main/img/ind_TEKO/ISB_AF42A_3d-228x228.jpg,2740,1-3 дня,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель (фиттинг),∅18,Алюминий,IP 67,Двухпроводный датчик,20-320 [DC] / 20-250 [AC],NO,Нет,5.0,Есть,-45...+65
Индуктивные датчики,Индуктивный датчик,ISB AF9A-31P-12-LZ,https://teko-com.ru/product/isb-af9a-31p-12-lz.html,/static/main/img/ind_TEKO/ISB_AF9A_3d-228x228.jpg,1700,1-3 дня,TEKO,Встраиваемый,Общее применение,Цилиндрический с резьбой,Кабель (фиттинг),∅36,Алюминий,IP 67,PNP,10-30 [DC],NO,Нет,12.0,Есть,-15...+65
